DoD_combination, Active pixels, Total volume [mm^3], Deposition volume [mm^3], Scour volume [mm^3], Active area [mm^2], Active width mean [%]
DoD_13-12_filt_ult_gis.txt, 33667.000, 1912.200, 17450.100, -15537.900, 8992.000, 0.270, 
DoD_14-10_filt_ult_gis.txt, 33669.000, 2907.900, 40683.800, -37775.900, 15604.000, 0.468, 
DoD_14-11_filt_ult_gis.txt, 33684.000, 2133.800, 32401.600, -30267.800, 13166.000, 0.395, 
DoD_14-12_filt_ult_gis.txt, 33675.000, 2598.500, 26803.000, -24204.500, 11608.000, 0.348, 
DoD_14-13_filt_ult_gis.txt, 33686.000, 617.400, 16158.400, -15541.000, 8230.000, 0.247, 
DoD_15-10_filt_ult_gis.txt, 33608.000, 1759.400, 47389.200, -45629.800, 16505.000, 0.495, 
DoD_15-11_filt_ult_gis.txt, 33620.000, 829.900, 40917.400, -40087.500, 15009.000, 0.450, 
DoD_15-12_filt_ult_gis.txt, 33609.000, 2149.700, 35745.700, -33596.000, 13681.000, 0.410, 
DoD_15-13_filt_ult_gis.txt, 33619.000, -654.300, 27324.300, -27978.600, 12140.000, 0.364, 
DoD_15-14_filt_ult_gis.txt, 33620.000, 16.300, 16108.500, -16092.200, 8928.000, 0.268, 
DoD_16-10_filt_ult_gis.txt, 33653.000, 3301.000, 52051.900, -48750.900, 17460.000, 0.523, 
DoD_16-11_filt_ult_gis.txt, 33656.000, 2046.300, 46389.200, -44342.900, 16294.000, 0.488, 
DoD_16-12_filt_ult_gis.txt, 33653.000, 2974.100, 42363.400, -39389.300, 15508.000, 0.465, 
DoD_16-13_filt_ult_gis.txt, 33650.000, 564.200, 35104.700, -34540.500, 14066.000, 0.422, 
DoD_16-14_filt_ult_gis.txt, 33656.000, 1365.700, 27165.000, -25799.300, 12018.000, 0.360, 
DoD_16-15_filt_ult_gis.txt, 33594.000, 681.600, 16779.000, -16097.400, 8830.000, 0.265, 
